dt,doc_id,item,category,amount,price,discount
2025-12-02,P2CJ473F,Одеяло,Текстиль,2,613,92
2025-12-02,P2CJ473F,Вилка,Кухонная утварь,1,984,59
2025-12-02,P2CJ473F,Сотейник,Посуда,4,854,26
2025-12-02,P2CJ473F,Салфетки для уборки,Бытовая химия,10,566,74
2025-12-02,951AYKDJ,Скатерть,Текстиль,4,1000,30
2025-12-02,6Q2SMNG3,Сушилка для посуды,Хранение и порядок,9,748,0
2025-12-02,6Q2SMNG3,Органайзер,Хранение и порядок,6,918,101
2025-12-02,1FFDFA6M,Кружка,Посуда,1,340,51
2025-12-02,1FFDFA6M,Вилка,Кухонная утварь,6,605,60
2025-12-02,1FFDFA6M,Сушилка для посуды,Хранение и порядок,9,640,70
2025-12-02,1FFDFA6M,Кондиционер для белья,Бытовая химия,2,144,7
2025-12-02,1FFDFA6M,Коробка,Хранение и порядок,2,356,32
2025-12-02,5W5VBNDN,Дуршлаг,Кухонная утварь,7,970,48
2025-12-02,UDSJTWNL,Мерный стакан,Кухонная утварь,4,406,37
