dt,doc_id,item,category,amount,price,discount
2025-12-02,3LPJH6YX,Органайзер,Хранение и порядок,4,533,80
2025-12-02,3LPJH6YX,Полотенце,Текстиль,9,256,5
2025-12-02,3LPJH6YX,Терка,Кухонная утварь,9,909,73
2025-12-02,2Q1K4V6Q,Терка,Кухонная утварь,7,744,0
2025-12-02,2Q1K4V6Q,Отбеливатель,Бытовая химия,3,457,5
2025-12-02,2Q1K4V6Q,Наволочка,Текстиль,1,693,55
2025-12-02,2Q1K4V6Q,Салфетки для уборки,Бытовая химия,2,493,15
2025-12-02,TPQC5L7B,Освежитель воздуха,Бытовая химия,8,658,66
2025-12-02,TPQC5L7B,Матрас,Текстиль,8,875,52
2025-12-02,TPQC5L7B,Разделочная доска,Кухонная утварь,6,225,4
2025-12-02,YYTMNUDG,Разделочная доска,Кухонная утварь,3,239,29
2025-12-02,YYTMNUDG,Вилка,Кухонная утварь,1,521,68
2025-12-02,ROSTD1B4,Органайзер,Хранение и порядок,10,782,109
2025-12-02,ROSTD1B4,Бокал,Посуда,7,504,40
2025-12-02,ROSTD1B4,Бокал,Посуда,2,419,8
2025-12-02,ROSTD1B4,Отбеливатель,Бытовая химия,7,716,43
2025-12-02,ROSTD1B4,Кондиционер для белья,Бытовая химия,3,810,49
2025-12-02,PNH77WWJ,Миска,Посуда,4,249,2
2025-12-02,PNH77WWJ,Дуршлаг,Кухонная утварь,10,162,16
2025-12-02,PNH77WWJ,Стакан,Посуда,8,770,77
2025-12-02,PNH77WWJ,Разделочная доска,Кухонная утварь,5,972,58
2025-12-02,7G4Q6IIH,Кондиционер для белья,Бытовая химия,10,717,22
2025-12-02,MLBTZP9G,Сковорода,Посуда,5,102,3
