dt,doc_id,item,category,amount,price,discount
2025-12-02,TZ46P8YT,Сотейник,Посуда,3,747,22
2025-12-02,TZ46P8YT,Молочник,Посуда,8,912,91
2025-12-02,TZ46P8YT,Сковорода,Посуда,3,321,42
2025-12-02,TZ46P8YT,Нож,Кухонная утварь,5,233,19
2025-12-02,AYPWVH4T,Пододеяльник,Текстиль,7,231,32
2025-12-02,AYPWVH4T,Коробка,Хранение и порядок,6,241,7
2025-12-02,AYPWVH4T,Чистящее средство для посуды,Бытовая химия,1,994,139
2025-12-02,AYPWVH4T,Сушилка для белья,Хранение и порядок,5,382,57
2025-12-02,GBL5EKUI,Контейнер,Посуда,8,447,22
2025-12-02,GBL5EKUI,Подушка,Текстиль,6,267,24
2025-12-02,3426YCTX,Коробка,Хранение и порядок,2,789,87
2025-12-02,3426YCTX,Сушилка для посуды,Хранение и порядок,5,341,7
2025-12-02,3426YCTX,Сушилка для белья,Хранение и порядок,5,888,98
2025-12-02,5LM9EWS8,Коврик,Текстиль,1,526,5
2025-12-02,5LM9EWS8,Отбеливатель,Бытовая химия,8,781,102
2025-12-02,5LM9EWS8,Капсулы для стирки,Бытовая химия,3,985,108
2025-12-02,5LM9EWS8,Ящик,Хранение и порядок,10,191,21
2025-12-02,5LM9EWS8,Чистящее средство для стекол и зеркал,Бытовая химия,8,900,108
2025-12-02,3QE02SC3,Молочник,Посуда,5,159,10
2025-12-02,3QE02SC3,Мерный стакан,Кухонная утварь,3,894,0
2025-12-02,3QE02SC3,Лопатка,Кухонная утварь,9,998,80
2025-12-02,S50O102U,Чистящее средство для стекол и зеркал,Бытовая химия,9,992,109
2025-12-02,S50O102U,Терка,Кухонная утварь,2,823,8
2025-12-02,S50O102U,Органайзер,Хранение и порядок,10,756,91
2025-12-02,FA9MN680,Кружка,Посуда,7,262,0
2025-12-02,FA9MN680,Скатерть,Текстиль,3,278,28
2025-12-02,FA9MN680,Чистящее средство для посуды,Бытовая химия,4,464,14
2025-12-02,FA9MN680,Кружка,Посуда,9,854,128
2025-12-02,FA9MN680,Терка,Кухонная утварь,6,259,16
2025-12-02,TFQYFWPS,Миска,Посуда,3,178,9
2025-12-02,TFQYFWPS,Дуршлаг,Кухонная утварь,5,656,98
