dt,doc_id,item,category,amount,price,discount
2025-12-02,8Y16793Z,Лотки для приборов,Хранение и порядок,8,794,119
2025-12-02,8Y16793Z,Косметичка,Хранение и порядок,7,156,16
2025-12-02,8Y16793Z,Лопатка,Кухонная утварь,3,231,16
2025-12-02,XVT8J00L,Миска,Посуда,2,723,29
2025-12-02,XVT8J00L,Чистящее средство для посуды,Бытовая химия,5,196,8
2025-12-02,XVT8J00L,Освежитель воздуха,Бытовая химия,5,974,29
2025-12-02,XVT8J00L,Коробка,Хранение и порядок,6,975,29
2025-12-02,XVT8J00L,Освежитель воздуха,Бытовая химия,9,229,5
2025-12-02,VU5PHXFF,Гель для стирки,Бытовая химия,7,499,0
2025-12-02,GK2MFJT9,Пододеяльник,Текстиль,7,249,22
2025-12-02,TQJSOC45,Салфетки для уборки,Бытовая химия,4,416,17
2025-12-02,76HQX0VU,Дуршлаг,Кухонная утварь,7,206,19
2025-12-02,R9FJUYYR,Ложка,Кухонная утварь,7,438,44
2025-12-02,R9FJUYYR,Лопатка,Кухонная утварь,8,741,74
2025-12-02,R9FJUYYR,Капсулы для стирки,Бытовая химия,4,402,28
2025-12-02,R9FJUYYR,Контейнер,Посуда,4,986,39
2025-12-02,R9FJUYYR,Венчик,Кухонная утварь,1,821,0
